country,region,total_articles,high_quality_articles,population,total_articles_per_capita,high_quality_articles_per_capita
Afghanistan,SOUTH ASIA,85,3,42400000.0,0.000002005,0.000000071
Albania,SOUTHERN EUROPE,69,7,2700000.0,0.000025556,0.000002593
Algeria,NORTHERN AFRICA,71,1,46800000.0,0.000001517,0.000000021
Angola,MIDDLE AFRICA,58,2,36700000.0,0.000001580,0.000000054
Antigua and Barbuda,CARIBBEAN,33,0,100000.0,0.000330000,0.000000000
Argentina,SOUTH AMERICA,64,1,46300000.0,0.000001382,0.000000022
Armenia,WESTERN ASIA,36,1,3000000.0,0.000012000,0.000000333
Austria,WESTERN EUROPE,73,1,9200000.0,0.000007935,0.000000109
Azerbaijan,WESTERN ASIA,80,3,10200000.0,0.000007843,0.000000294
Bahamas,CARIBBEAN,9,0,400000.0,0.000022500,0.000000000
Bahrain,WESTERN ASIA,43,1,1600000.0,0.000026875,0.000000625
Bangladesh,SOUTH ASIA,74,1,173500000.0,0.000000427,0.000000006
Barbados,CARIBBEAN,25,0,300000.0,0.000083333,0.000000000
Belarus,EASTERN EUROPE,37,4,9200000.0,0.000004022,0.000000435
Belgium,WESTERN EUROPE,77,1,11800000.0,0.000006525,0.000000085
Belize,CENTRAL AMERICA,9,0,500000.0,0.000018000,0.000000000
Benin,WESTERN AFRICA,7,0,13700000.0,0.000000511,0.000000000
Bhutan,SOUTH ASIA,44,0,800000.0,0.000055000,0.000000000
Bolivia,SOUTH AMERICA,27,2,12200000.0,0.000002213,0.000000164
Bosnia Herzegovina,SOUTHERN EUROPE,43,2,3400000.0,0.000012647,0.000000588
Botswana,SOUTHERN AFRICA,3,0,2700000.0,0.000001111,0.000000000
Brazil,SOUTH AMERICA,103,6,204000000.0,0.000000505,0.000000029
Bulgaria,EASTERN EUROPE,65,3,6400000.0,0.000010156,0.000000469
Burkina Faso,WESTERN AFRICA,26,2,22900000.0,0.000001135,0.000000087
Burundi,EASTERN AFRICA,16,3,13200000.0,0.000001212,0.000000227
Cambodia,SOUTHEAST ASIA,37,1,17000000.0,0.000002176,0.000000059
Cameroon,MIDDLE AFRICA,46,2,28100000.0,0.000001637,0.000000071
Cape Verde,WESTERN AFRICA,9,0,600000.0,0.000015000,0.000000000
Central African Republic,MIDDLE AFRICA,15,1,6200000.0,0.000002419,0.000000161
Chad,MIDDLE AFRICA,21,0,18300000.0,0.000001148,0.000000000
Chile,SOUTH AMERICA,59,1,20000000.0,0.000002950,0.000000050
China,EAST ASIA,16,0,1411300000.0,0.000000011,0.000000000
Colombia,SOUTH AMERICA,78,1,52200000.0,0.000001494,0.000000019
Comoros,EASTERN AFRICA,23,0,900000.0,0.000025556,0.000000000
Congo,MIDDLE AFRICA,31,0,6100000.0,0.000005082,0.000000000
Congo DR,MIDDLE AFRICA,53,2,102300000.0,0.000000518,0.000000020
Costa Rica,CENTRAL AMERICA,62,1,5300000.0,0.000011698,0.000000189
Cote d'Ivoire,WESTERN AFRICA,10,0,30900000.0,0.000000324,0.000000000
Croatia,SOUTHERN EUROPE,64,5,3800000.0,0.000016842,0.000001316
Cuba,CARIBBEAN,50,6,11000000.0,0.000004545,0.000000545
Cyprus,WESTERN ASIA,16,0,1300000.0,0.000012308,0.000000000
Czechia,EASTERN EUROPE,59,2,10900000.0,0.000005413,0.000000183
Djibouti,EASTERN AFRICA,15,0,1100000.0,0.000013636,0.000000000
Dominican Republic,CARIBBEAN,38,2,11300000.0,0.000003363,0.000000177
Ecuador,SOUTH AMERICA,33,0,17100000.0,0.000001930,0.000000000
Egypt,NORTHERN AFRICA,32,1,105200000.0,0.000000304,0.000000010
El Salvador,CENTRAL AMERICA,27,3,6400000.0,0.000004219,0.000000469
Equatorial Guinea,MIDDLE AFRICA,2,0,1700000.0,0.000001176,0.000000000
Eritrea,EASTERN AFRICA,15,0,3700000.0,0.000004054,0.000000000
