,name,url,country,pageid,lastrevid
0,Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,10483286.0,1233202991.0
1,Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,11966231.0,1230459615.0
2,Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,46841383.0,1225661708.0
3,Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,71600382.0,1234741562.0
4,Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,47805901.0,1195651393.0
5,Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,70019038.0,1235521766.0
6,Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,27664854.0,1176429234.0
7,Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,12084570.0,1247931713.0
8,Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,22588409.0,1225385278.0
9,Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,44482763.0,1226326055.0
10,Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,25153929.0,1244521219.0
11,Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,27428272.0,1231655023.0
12,Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,40960242.0,1237694188.0
13,Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,10305348.0,1227635806.0
14,Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,27663861.0,1248505877.0
15,Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,16351100.0,1197443408.0
16,Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,14454477.0,1134129082.0
17,Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,24963809.0,1193992206.0
18,Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,59378987.0,988838315.0
19,Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,26835722.0,949986748.0
20,Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan,15842120.0,1158302291.0
21,Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan,52438668.0,1185105938.0
22,Gajinder Singh Safri,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,Afghanistan,72903967.0,1212323536.0
23,Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan,8054084.0,1245967190.0
24,Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan,13368923.0,1207743719.0
25,Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan,29443640.0,1227026187.0
26,Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,68918472.0,1158659195.0
27,Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,25630787.0,1240993642.0
28,Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,26027316.0,1136611354.0
29,Sayed Yousuf Halim,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,Afghanistan,72051141.0,1234514565.0
30,Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,68487239.0,1234743111.0
31,Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,52438868.0,1179137138.0
32,Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,41835910.0,1246566795.0
33,Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,35512380.0,1243745950.0
34,Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,8575012.0,1246566804.0
35,Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,39258771.0,1235165845.0
36,Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,21500352.0,1137130537.0
37,Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,6392185.0,1248976824.0
38,Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,27668571.0,1136614743.0
39,Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,5294659.0,1238402857.0
40,Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,3056711.0,1246566971.0
41,Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,45419022.0,1247727443.0
42,Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,7493859.0,1195409073.0
43,Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,23672202.0,1176481824.0
